Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
TGSRTC - 1954,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),7:25,11:00,03h 35m,INR 389,33 Seats available,"3.6
74",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8709,Super Luxury (Non AC Seater 2+2 Push Back),7:30,12:00,04h 30m,INR 320,31 Seats available,"3.9
12",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8659,RAJDHANI (A.C. Semi Sleeper),8:00,12:00,04h 00m,INR 389,32 Seats available,"3.8
34",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 64839,Super Luxury (Non AC Seater 2+2 Push Back),8:30,13:00,04h 30m,INR 320,31 Seats available,"3.5
17",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 64000,Rajdhani (AC Semi Sleeper 2+2),9:00,13:00,04h 00m,INR 389,29 Seats available,"3.5
14",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 7648,Super Luxury (Non AC Seater 2+2 Push Back),9:30,14:00,04h 30m,INR 320,33 Seats available,"4.0
6",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 64362,Super Luxury (Non AC Seater 2+2 Push Back),9:30,14:00,04h 30m,INR 320,31 Seats available,3.6,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8978,Super Luxury (Non AC Seater 2+2 Push Back),9:40,13:35,03h 55m,INR 320,30 Seats available,"4.3
14",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8647,RAJDHANI (A.C. Semi Sleeper),10:00,14:00,04h 00m,INR 389,32 Seats available,"3.0
36",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 64824,Super Luxury (Non AC Seater 2+2 Push Back),10:30,14:50,04h 20m,INR 320,30 Seats available,"2.0
9",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8968,Super Luxury (Non AC Seater 2+2 Push Back),10:35,15:10,04h 35m,INR 320,28 Seats available,"4.2
16",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8847,Super Luxury (Non AC Seater 2+2 Push Back),11:10,15:30,04h 20m,INR 320,31 Seats available,"4.2
8",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8970,Super Luxury (Non AC Seater 2+2 Push Back),11:15,15:15,04h 00m,INR 320,31 Seats available,"3.9
17",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 34339,RAJDHANI (A.C. Semi Sleeper),11:20,15:30,04h 10m,INR 389,35 Seats available,"2.2
31",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8824,Super Luxury (Non AC Seater 2+2 Push Back),11:50,16:30,04h 40m,INR 320,31 Seats available,"3.2
10",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8609,Rajdhani (AC Semi Sleeper 2+2),12:00,16:00,04h 00m,INR 389,30 Seats available,"3.7
52",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8724,Super Luxury (Non AC Seater 2+2 Push Back),12:30,16:45,04h 15m,INR 320,31 Seats available,3.6,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8982,RAJDHANI (A.C. Semi Sleeper),12:30,16:30,04h 00m,INR 389,35 Seats available,"2.6
14",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8808,Super Luxury (Non AC Seater 2+2 Push Back),12:45,16:45,04h 00m,INR 320,31 Seats available,3.6,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8932,Super Luxury (Non AC Seater 2+2 Push Back),12:45,16:45,04h 00m,INR 320,31 Seats available,3.6,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8681,Rajdhani (AC Semi Sleeper 2+2),13:00,17:00,04h 00m,INR 389,35 Seats available,"3.6
35",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8617,Super Luxury (Non AC Seater 2+2 Push Back),13:20,17:30,04h 10m,INR 320,28 Seats available,"3.7
24",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8736,Super Luxury (Non AC Seater 2+2 Push Back),13:30,17:50,04h 20m,INR 320,31 Seats available,"2.5
4",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8977,Super Luxury (Non AC Seater 2+2 Push Back),13:50,17:45,03h 55m,INR 320,31 Seats available,"4.2
18",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 64020,RAJDHANI (A.C. Semi Sleeper),14:00,18:00,04h 00m,INR 389,35 Seats available,"3.7
62",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 64863,Super Luxury (Non AC Seater 2+2 Push Back),14:30,18:30,04h 00m,INR 320,31 Seats available,"4.4
4",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8974,Super Luxury (Non AC Seater 2+2 Push Back),14:40,18:30,03h 50m,INR 320,31 Seats available,"2.8
13",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8665,LAHARI A/C SLEEPER CUM SEATER,15:00,20:00,05h 00m,INR 389,32 Seats available,"4.2
73",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8969,Super Luxury (Non AC Seater 2+2 Push Back),15:15,19:30,04h 15m,INR 320,31 Seats available,"4.0
14",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8698,RAJDHANI (A.C. Semi Sleeper),15:30,19:30,04h 00m,INR 389,33 Seats available,"3.7
41",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8929,Super Luxury (Non AC Seater 2+2 Push Back),15:30,19:30,04h 00m,INR 320,28 Seats available,3.6,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8623,Rajdhani (AC Semi Sleeper 2+2),16:00,19:30,03h 30m,INR 389,33 Seats available,"3.9
10",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 34331,LAHARI A/C SLEEPER CUM SEATER,16:20,19:50,03h 30m,INR 389,43 Seats available,"1.6
8",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8657,Rajdhani (AC Semi Sleeper 2+2),17:00,20:30,03h 30m,INR 389,32 Seats available,3.6,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 1319,LAHARI A/C SLEEPER CUM SEATER,17:10,20:45,03h 35m,INR 389,43 Seats available,"3.4
91",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8613,Super Luxury (Non AC Seater 2+2 Push Back),17:20,21:30,04h 10m,INR 320,31 Seats available,"3.9
53",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8675,RAJDHANI (A.C. Semi Sleeper),17:30,21:30,04h 00m,INR 389,37 Seats available,"3.9
47",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 64089,RAJDHANI (A.C. Semi Sleeper),18:00,21:30,03h 30m,INR 389,35 Seats available,"3.6
31",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 1952,LAHARI A/C SLEEPER CUM SEATER,18:10,21:45,03h 35m,INR 389,38 Seats available,"3.7
44",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8822,Super Luxury (Non AC Seater 2+2 Push Back),18:15,22:00,03h 45m,INR 320,31 Seats available,"3.4
10",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 4172,Rajdhani (AC Semi Sleeper 2+2),18:30,22:30,04h 00m,INR 389,35 Seats available,"3.3
46",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 64022,RAJDHANI (A.C. Semi Sleeper),19:00,22:30,03h 30m,INR 389,35 Seats available,"3.1
22",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8677,Super Luxury (Non AC Seater 2+2 Push Back),19:30,23:40,04h 10m,INR 320,31 Seats available,"3.8
25",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8625,RAJDHANI (A.C. Semi Sleeper),21:00,1:00,04h 00m,INR 389,35 Seats available,"3.5
53",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8619,RAJDHANI (A.C. Semi Sleeper),22:00,2:00,04h 00m,INR 389,34 Seats available,"3.7
72",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 64593,Super Luxury (Non AC Seater 2+2 Push Back),22:30,2:25,03h 55m,INR 320,28 Seats available,"4.0
32",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 1224,Deluxe (Non AC Seater 2+2),22:40,4:30,05h 50m,INR 277,33 Seats available,3.6,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8827,Super Luxury (Non AC Seater 2+2 Push Back),22:55,3:20,04h 25m,INR 320,29 Seats available,"3.0
15",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
