Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
FlixBus,AC Seater (2+2),23:35,5:00,05h 25m,INR 427.68,9 Seats available,"4.3
128",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly (Uttar Pradesh)
RS YADAV SMART BUS,Bharat Benz A/C Seater /Sleeper (2+1),21:40,4:45,07h 05m,INR 799,22 Seats available,"3.5
40",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly (Uttar Pradesh)
New Khaira Transport,A/C Seater / Sleeper (2+2),21:00,3:30,06h 30m,INR 500,20 Seats available,"1.9
37",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly (Uttar Pradesh)
FlixBus,Bharat Benz A/C Seater (2+2),17:15,22:25,05h 10m,INR 533.93,4 Seats available,"3.7
42",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly (Uttar Pradesh)
New Khaira Transport,A/C Seater / Sleeper (2+1),20:40,3:30,06h 50m,720,4 Seats available,"4.5
14",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly (Uttar Pradesh)
New Khaira TPT,AC Sleeper (2+1),20:30,2:50,06h 20m,INR 900,19 Seats available,"4.3
13",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly (Uttar Pradesh)
SHRI RAM TRAVELS,A/C Seater (2+2),23:59,5:15,05h 16m,INR 740,16 Seats available,"2.9
31",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly (Uttar Pradesh)
New Khaira Transport,A/C Seater / Sleeper (2+2),21:30,4:30,07h 00m,630,27 Seats available,"2.1
11",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly (Uttar Pradesh)
SHRI RAM TRAVELS,A/C Seater (2+2),18:00,23:15,05h 15m,INR 740,19 Seats available,"3.4
10",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly (Uttar Pradesh)
Jaiswal Tour and Travels,A/C Seater/Sleeper (2+1),20:30,2:30,06h 00m,INR 599,52 Seats available,"1.3
6",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly (Uttar Pradesh)
Gola Bus Service,Bharat Benz A/C Seater /Sleeper (2+1),22:30,6:30,08h 00m,INR 699,38 Seats available,"4.7
1447",https://www.redbus.in/bus-tickets/delhi-to-lucknow,Delhi to Lucknow
PTC-SKYBUS,VE A/C Seater / Sleeper (2+1),23:50,7:30,07h 40m,INR 700,26 Seats available,"4.7
1424",https://www.redbus.in/bus-tickets/delhi-to-lucknow,Delhi to Lucknow
PTC-SKYBUS,VE A/C Seater / Sleeper (2+1),23:45,7:45,08h 00m,INR 700,33 Seats available,"4.6
1200",https://www.redbus.in/bus-tickets/delhi-to-lucknow,Delhi to Lucknow
AdRaj Kalpana Travels Pvt.ltd.,A/C Seater/Sleeper (2+1),23:15,7:15,08h 00m,INR 637,31 Seats available,"4.4
1383",https://www.redbus.in/bus-tickets/delhi-to-lucknow,Delhi to Lucknow
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),21:20,6:35,09h 15m,INR 519,25 Seats available,"4.6
752",https://www.redbus.in/bus-tickets/delhi-to-lucknow,Delhi to Lucknow
Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),23:55,7:30,07h 35m,526,22 Seats available,"4.6
662",https://www.redbus.in/bus-tickets/delhi-to-lucknow,Delhi to Lucknow
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:15,7:35,08h 20m,INR 559,17 Seats available,"4.6
434",https://www.redbus.in/bus-tickets/delhi-to-lucknow,Delhi to Lucknow
AdVaishali Expresso Pvt. Ltd.,A/C Seater / Sleeper (2+2),22:00,5:45,07h 45m,INR 900,45 Seats available,"4.2
169",https://www.redbus.in/bus-tickets/delhi-to-lucknow,Delhi to Lucknow
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),22:35,7:30,08h 55m,INR 519,27 Seats available,"4.5
807",https://www.redbus.in/bus-tickets/delhi-to-lucknow,Delhi to Lucknow
Zingbus Plus,A/C Semi Sleeper / Sleeper (2+1),22:00,7:20,09h 20m,508,35 Seats available,"4.3
853",https://www.redbus.in/bus-tickets/delhi-to-lucknow,Delhi to Lucknow
IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),22:40,6:55,08h 15m,INR 529,28 Seats available,"4.6
324",https://www.redbus.in/bus-tickets/delhi-to-lucknow,Delhi to Lucknow
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),22:45,8:05,09h 20m,INR 499,27 Seats available,"4.5
501",https://www.redbus.in/bus-tickets/delhi-to-lucknow,Delhi to Lucknow
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:00,7:15,08h 15m,INR 609,20 Seats available,"4.5
488",https://www.redbus.in/bus-tickets/delhi-to-lucknow,Delhi to Lucknow
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),21:15,6:45,09h 30m,INR 479,20 Seats available,"4.5
469",https://www.redbus.in/bus-tickets/delhi-to-lucknow,Delhi to Lucknow
IntrCity SmartBus,A/C Seater / Sleeper (2+1),21:45,7:00,09h 15m,INR 549,24 Seats available,"4.5
364",https://www.redbus.in/bus-tickets/delhi-to-lucknow,Delhi to Lucknow
Fouji travels,A/C Seater / Sleeper (2+1),22:50,5:55,07h 05m,INR 599,17 Seats available,"4.3
1076",https://www.redbus.in/bus-tickets/delhi-to-lucknow,Delhi to Lucknow
IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),21:30,6:00,08h 30m,INR 639,24 Seats available,"4.4
507",https://www.redbus.in/bus-tickets/delhi-to-lucknow,Delhi to Lucknow
Raj Kalpana Travels Pvt.Ltd,Bharat Benz A/C Seater /Sleeper (2+1),23:30,7:30,08h 00m,INR 637,29 Seats available,"4.3
862",https://www.redbus.in/bus-tickets/delhi-to-lucknow,Delhi to Lucknow
Laxmi holidays,Bharat Benz A/C Sleeper (2+1),23:05,7:30,08h 25m,767,23 Seats available,"4.5
1073",https://www.redbus.in/bus-tickets/delhi-to-lucknow,Delhi to Lucknow
Gola Bus Service,VE A/C Seater / Sleeper (2+1),21:00,5:00,08h 00m,INR 1199,24 Seats available,"4.6
135",https://www.redbus.in/bus-tickets/delhi-to-lucknow,Delhi to Lucknow
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:00,7:00,08h 00m,INR 519,24 Seats available,"4.5
224",https://www.redbus.in/bus-tickets/delhi-to-lucknow,Delhi to Lucknow
IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:30,7:30,09h 00m,INR 499,26 Seats available,"4.4
389",https://www.redbus.in/bus-tickets/delhi-to-lucknow,Delhi to Lucknow
Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),17:00,1:30,08h 30m,1484,8 Seats available,"4.5
181",https://www.redbus.in/bus-tickets/delhi-to-lucknow,Delhi to Lucknow
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),21:00,6:30,09h 30m,INR 509,22 Seats available,"4.4
309",https://www.redbus.in/bus-tickets/delhi-to-lucknow,Delhi to Lucknow
Fouji travels,VE A/C Seater / Sleeper (2+1),23:20,6:30,07h 10m,INR 499,30 Seats available,"4.2
1063",https://www.redbus.in/bus-tickets/delhi-to-lucknow,Delhi to Lucknow
RS YADAV SMART BUS,VE A/C Seater / Sleeper (2+1),21:40,5:30,07h 50m,INR 1099,26 Seats available,"4.5
170",https://www.redbus.in/bus-tickets/delhi-to-lucknow,Delhi to Lucknow
IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),20:00,5:45,09h 45m,INR 669,10 Seats available,"4.4
210",https://www.redbus.in/bus-tickets/delhi-to-lucknow,Delhi to Lucknow
