Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Bedi Travels,Volvo A/C Semi Sleeper (2+2),23:00,8:00,09h 00m,539,22 Seats available,"4.8
959",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Laxmi holidays,Volvo A/C Semi Sleeper (2+2),23:25,7:45,08h 20m,INR 499,24 Seats available,"4.4
645",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),23:30,8:00,08h 30m,569,21 Seats available,"4.5
814",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),23:30,7:40,08h 10m,523,31 Seats available,"4.4
581",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Zingbus Plus,Bharat Benz A/C Semi Sleeper (2+2),22:35,8:10,09h 35m,559,17 Seats available,"4.6
494",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),21:20,7:10,09h 50m,475,22 Seats available,"3.8
367",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Here Bus,Bharat Benz A/C Seater (2+2),23:45,7:45,08h 00m,942,45 Seats available,3.6,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
City Land Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:55,7:25,07h 30m,673,39 Seats available,"3.4
388",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
City Land Travels,Volvo A/C Semi Sleeper (2+2),22:30,6:00,07h 30m,450,27 Seats available,"3.2
368",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Royal Safari India Travels,Bharat Benz A/C Semi Sleeper (2+2),23:00,8:30,09h 30m,INR 475.24,34 Seats available,New,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
RAO TRAVELS INDIA PVT LTD.,AC Seater (2+2),21:00,7:30,10h 30m,INR 1499,33 Seats available,"1.8
36",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Himalayan Nomad Ktc,Volvo A/C Semi Sleeper (2+2),22:30,2:35,04h 05m,656,23 Seats available,3.8,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Hamirpur (Himachal Pradesh) to Chandigarh
Laxmi holidays,Volvo A/C Semi Sleeper (2+2),20:20,1:15,04h 55m,1139,24 Seats available,"3.3
11",https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Hamirpur (Himachal Pradesh) to Chandigarh
Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),21:15,1:20,04h 05m,846,11 Seats available,"4.2
15",https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Hamirpur (Himachal Pradesh) to Chandigarh
Northern Travels,Volvo A/C Semi Sleeper (2+2),21:45,1:30,03h 45m,INR 1050,30 Seats available,3,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Hamirpur (Himachal Pradesh) to Chandigarh
Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),22:00,3:10,05h 10m,1121,7 Seats available,4.5,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Hamirpur (Himachal Pradesh) to Chandigarh
Northern Travels,Volvo A/C Semi Sleeper (2+2),22:00,1:15,03h 15m,INR 1300,41 Seats available,3,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Hamirpur (Himachal Pradesh) to Chandigarh
Bedi Travels,Volvo A/C Semi Sleeper (2+2),22:05,2:05,04h 00m,1088,2 Seats available,4.8,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Hamirpur (Himachal Pradesh) to Chandigarh
Himalayan Nomad Ktc,Volvo A/C Semi Sleeper (2+2),23:00,3:05,04h 05m,1313,34 Seats available,3.8,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Hamirpur (Himachal Pradesh) to Chandigarh
HRTC - 1515,Ordinary 3+2 Non AC Seater,13:20,20:15,06h 55m,INR 373,37 Seats available,"3.3
7",https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,Chandigarh to Hamirpur (Himachal Pradesh)
HRTC - 1529,Ordinary 3+2 Non AC Seater,13:56,19:05,05h 09m,INR 364,37 Seats available,"4.1
8",https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,Chandigarh to Hamirpur (Himachal Pradesh)
